City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Carnarvon,-24.8667,113.6333,71.58,61,9,21.56,AU,2022-02-06 23:20:39
68,Tahta,26.7693,31.5021,52.12,50,0,6.78,EG,2022-02-06 23:21:56
69,Ancud,-41.8697,-73.8203,69.22,74,8,6.85,CL,2022-02-06 23:21:56
70,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,40,12.66,CA,2022-02-06 23:21:56
71,Mayo,38.8876,-76.5119,35.38,50,75,0.0,US,2022-02-06 23:21:57
72,Hermanus,-34.4187,19.2345,64.9,95,15,4.16,ZA,2022-02-06 23:21:57
73,Longyearbyen,78.2186,15.6401,19.24,63,20,10.36,SJ,2022-02-06 23:21:57
74,Cairns,-16.9167,145.7667,83.28,75,75,8.05,AU,2022-02-06 23:21:46
75,Pitimbu,-7.4706,-34.8086,81.19,69,5,12.57,BR,2022-02-06 23:21:58
76,Pyshma,56.9523,63.2513,0.48,93,87,5.5,RU,2022-02-06 23:21:58
77,Moose Factory,51.2585,-80.6094,1.4,71,75,6.91,CA,2022-02-06 23:21:58
78,Nouadhibou,20.931,-17.0347,65.5,79,16,14.25,MR,2022-02-06 23:21:58
79,Ostrovnoy,68.0531,39.5131,13.71,87,99,20.45,RU,2022-02-06 23:21:59
80,Tura,25.5198,90.2201,51.12,79,0,3.22,IN,2022-02-06 23:18:13
81,Tete,-16.1564,33.5867,70.93,91,47,1.68,MZ,2022-02-06 23:21:59
82,Shimoda,34.6667,138.95,43.16,82,75,3.51,JP,2022-02-06 23:21:59
83,Calvinia,-31.4707,19.776,75.79,32,0,0.98,ZA,2022-02-06 23:21:59
84,Filimonovo,56.2011,95.4611,9.19,93,100,3.94,RU,2022-02-06 23:22:00
85,Henties Bay,-22.116,14.2845,69.85,80,93,3.74,NA,2022-02-06 23:22:00
86,Inuvik,68.3499,-133.7218,-21.24,76,100,8.05,CA,2022-02-06 23:22:00
87,Saint-Philippe,-21.3585,55.7679,76.59,82,100,13.04,RE,2022-02-06 23:22:01
88,Lavrentiya,65.5833,-171.0,-10.8,92,16,6.26,RU,2022-02-06 23:22:01
89,Adamovka,51.5223,59.9396,15.33,96,100,3.49,RU,2022-02-06 23:22:01
90,Buala,-8.145,159.5921,84.9,74,100,11.12,SB,2022-02-06 23:22:01
91,Katiola,8.1333,-5.1,78.44,21,8,3.31,CI,2022-02-06 23:22:02
92,Kieta,-6.2167,155.6333,84.69,69,100,7.63,PG,2022-02-06 23:22:02
93,Butaritari,3.0707,172.7902,82.09,76,42,15.82,KI,2022-02-06 23:22:02
