City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chengde,CN,40.9725,117.9361,21.38,46,100,4.56,overcast clouds
79,Boulsa,BF,12.6675,-0.5758,68.88,15,0,9.62,clear sky
80,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,3.44,light rain
81,Port Lincoln,AU,-34.7333,135.8667,79.43,48,0,17.78,clear sky
82,Monywa,MM,22.1167,95.1333,62.55,44,15,9.8,few clouds
83,Kawalu,ID,-7.3817,108.2082,79.95,75,100,3.62,overcast clouds
84,Leningradskiy,RU,69.3833,178.4167,-25.65,99,54,2.46,broken clouds
85,Huarmey,PE,-10.0681,-78.1522,71.44,77,100,6.64,overcast clouds
86,Hilo,US,19.7297,-155.09,76.24,77,100,8.05,light rain
87,Koronowo,PL,53.3137,17.937,38.53,96,100,11.59,overcast clouds
88,Poro,PH,10.6292,124.4087,84.06,72,100,12.97,overcast clouds
89,Fortuna,US,40.5982,-124.1573,51.19,92,0,0.0,clear sky
90,Nara,JP,34.6851,135.8049,46.96,50,99,5.53,overcast clouds
91,Yar-Sale,RU,66.8333,70.8333,-9.36,99,46,9.08,scattered clouds
92,Yellowknife,CA,62.456,-114.3525,-1.59,87,75,5.75,light snow
93,Oum Hadjer,TD,13.2954,19.6966,64.4,15,1,9.78,clear sky
94,Deqing,CN,30.5448,119.9599,39.16,100,100,2.59,snow
95,Marabba,SD,12.35,32.1833,62.64,18,66,12.77,broken clouds
96,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,91,13.87,overcast clouds
97,Ribeira Grande,PT,38.5167,-28.7,61.18,84,10,14.58,clear sky
98,Thompson,CA,55.7435,-97.8558,-7.44,71,100,5.75,overcast clouds
99,Manta,EC,-0.95,-80.7333,76.78,83,40,9.22,scattered clouds
100,Coihaique,CL,-45.5752,-72.0662,68.61,63,0,3.44,clear sky
101,Gizo,SB,-8.103,156.8419,85.59,72,100,13.6,light rain
102,Kapaa,US,22.0752,-159.319,80.58,70,40,1.01,scattered clouds
103,Kashi,CN,39.4547,75.9797,25.23,79,75,4.47,broken clouds
104,Katsuura,JP,35.1333,140.3,44.71,32,11,7.07,few clouds
105,Port Hedland,AU,-20.3167,118.5667,80.65,94,40,5.75,light rain
106,Kaitangata,NZ,-46.2817,169.8464,59.94,79,78,8.25,broken clouds
107,Cape Town,ZA,-33.9258,18.4232,64.27,89,75,3.44,broken clouds
108,Bethel,US,41.3712,-73.414,27.91,81,40,0.0,scattered clouds
109,Havre-Saint-Pierre,CA,50.2334,-63.5986,9.19,65,100,6.91,overcast clouds
110,Miyako,JP,39.6367,141.9525,35.26,43,88,7.11,overcast clouds
111,Ancud,CL,-41.8697,-73.8203,58.53,87,5,3.74,clear sky
112,Alice Springs,AU,-23.7,133.8833,85.55,28,0,6.91,clear sky
113,Hambantota,LK,6.1241,81.1185,77.34,88,75,4.61,broken clouds
114,Aykhal,RU,66.0,111.5,-15.57,100,99,6.35,overcast clouds
115,Half Moon Bay,US,37.4636,-122.4286,62.35,62,0,0.0,clear sky
116,Akureyri,IS,65.6835,-18.0878,24.73,80,0,14.97,clear sky
117,Langham,CA,52.3668,-106.9679,30.02,84,0,9.33,clear sky
118,Cayenne,GF,4.9333,-52.3333,80.1,87,40,5.01,scattered clouds
119,Borogontsy,RU,62.6683,131.1683,-25.06,94,100,3.6,overcast clouds
