City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Dubbo,AU,75.33,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
554,Sao Joao Da Barra,BR,76.17,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
557,Montepuez,MZ,68.2,overcast clouds,-13.1256,38.9997,PembaAparthotel
560,Tabuk,PH,73.33,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
562,Mersing,MY,76.91,light rain,2.4312,103.8405,Timotel Hotel
564,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
565,Nortelandia,BR,73.17,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
571,Soyung,PH,71.49,overcast clouds,16.7001,121.6655,"JV's Inn, Resort, Bar & Grill"
572,Morrope,PE,75.79,overcast clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
574,Flores,GT,65.98,broken clouds,16.9226,-89.8994,Quinta Maya Hotel
575,Porto Novo,BJ,75.88,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
578,Mogadishu,SO,76.87,scattered clouds,2.0371,45.3438,Hotel Juba
580,Mollendo,PE,69.66,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
581,Mwingi,KE,65.48,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
582,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
583,Biloela,AU,85.1,scattered clouds,-24.4167,150.5,Biloela Silo Motor Inn
584,Chimbote,PE,70.79,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
585,Moron,AR,65.97,clear sky,-34.6534,-58.6198,Hotel Morón
586,Mocuba,MZ,70.79,light rain,-16.8392,36.9856,Phama Lodge
587,Namibe,AO,72.28,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
589,Waitati,NZ,62.8,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
590,San Nicolas,PH,84.11,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
592,Les Cayes,HT,73.09,clear sky,18.2,-73.75,Villa Orphee
593,Amapa,BR,71.08,overcast clouds,1.0,-52.0,
596,Luquillo,PR,73.33,light rain,18.3725,-65.7166,Yunque Mar Beach Hotel
597,Choma,ZM,63.5,overcast clouds,-16.8065,26.9531,Kamuboola Lodge
598,Springbok,ZA,70.47,clear sky,-29.6643,17.8865,Undulata Country Lodge
603,Jaora,IN,62.22,clear sky,23.6333,75.1333,Hotel celebration
604,Kailua,US,82.38,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
605,Shirgaon,IN,68.02,scattered clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
607,Puerto Escondido,MX,76.01,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
609,Sorong,ID,83.64,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
610,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
611,Pilar,BR,75.13,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
614,Humaita,BR,74.08,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
616,Kidal,ML,60.96,clear sky,18.4411,1.4078,
